match_id,ElapsedTime,SetNo,P1GamesWon,P2GamesWon,SetWinner,GameNo,GameWinner,PointNumber,PointWinner,PointServer,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,P1TurningPoint,P2TurningPoint,source_file,ServingTo,ServeNumber,WinnerType,WinnerShotType,P1DistanceRun,P2DistanceRun,RallyCount,ServeWidth,ServeDepth,ReturnDepth,prob_p1_match_mc,prob_p2_match_mc
2019-wimbledon-1701,0:00:00,1.0,0.0,0.0,0,1.0,0,1,2.0,2.0,172.0,,0,15,0.0,4.0,0.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23000.0,107.0,0,0,2,,,,,,data/2019-wimbledon-points.csv,,1.0,0,0,1.914,2.072,1.0,W,CTL,,0.4375,0.5625
2019-wimbledon-1701,0:00:15,1.0,0.0,0.0,0,1.0,0,2,2.0,2.0,141.0,,0,30,1.0,6.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11030.0,88.0,0,0,2,,,,,,data/2019-wimbledon-points.csv,,2.0,0,0,4.391,5.175,1.0,BC,NCTL,D,0.390625,0.609375
2019-wimbledon-1701,0:00:39,1.0,0.0,0.0,0,1.0,0,3,1.0,2.0,164.0,,15,30,2.0,4.0,1.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020.0,102.0,0,0,2,,,,,,data/2019-wimbledon-points.csv,,1.0,0,0,10.716,6.218,2.0,W,CTL,D,0.453125,0.546875
2019-wimbledon-1701,0:00:59,1.0,0.0,0.0,0,1.0,0,4,2.0,2.0,193.0,,15,40,2.0,8.0,1.0,3.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23000.0,120.0,0,0,2,,,,,,data/2019-wimbledon-points.csv,,1.0,0,0,2.2,1.953,1.0,C,NCTL,,0.390625,0.609375
2019-wimbledon-1701,0:01:14,1.0,0.0,1.0,0,1.0,2,5,2.0,2.0,156.0,,0,0,2.0,13.0,1.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21012.0,97.0,0,0,1,,,,,,data/2019-wimbledon-points.csv,,2.0,0,F,7.543,6.319,3.0,C,NCTL,D,0.265625,0.734375
2019-wimbledon-1701,0:02:17,1.0,0.0,1.0,0,2.0,0,6,1.0,1.0,193.0,,15,0,4.0,12.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030.0,120.0,0,0,1,,,,,,data/2019-wimbledon-points.csv,,1.0,0,0,16.697,21.416,5.0,C,CTL,D,0.4375,0.5625
2019-wimbledon-1701,0:02:45,1.0,0.0,1.0,0,2.0,0,7,1.0,1.0,181.0,,30,0,5.0,10.0,3.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020.0,113.0,0,0,1,,,,,,data/2019-wimbledon-points.csv,,2.0,0,0,10.681,9.323,3.0,C,NCTL,D,0.375,0.625
2019-wimbledon-1701,0:03:23,1.0,0.0,1.0,0,2.0,0,8,1.0,1.0,183.0,,40,0,7.0,9.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030.0,114.0,0,0,1,,,,,,data/2019-wimbledon-points.csv,,1.0,0,0,7.827,12.268,3.0,W,CTL,ND,0.390625,0.609375
2019-wimbledon-1701,0:03:47,1.0,1.0,1.0,0,2.0,1,9,1.0,1.0,177.0,,0,0,11.0,8.0,5.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21032.0,110.0,0,0,2,,,,,,data/2019-wimbledon-points.csv,,2.0,0,0,5.452,8.313,3.0,C,NCTL,D,0.46875,0.53125
2019-wimbledon-1701,0:04:28,1.0,1.0,1.0,0,3.0,0,10,1.0,2.0,154.0,,15,0,14.0,8.0,6.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11010.0,96.0,0,0,2,,,,,,data/2019-wimbledon-points.csv,,2.0,0,F,53.477,56.977,18.0,B,NCTL,D,0.34375,0.65625
2019-wimbledon-1701,0:05:22,1.0,1.0,1.0,0,3.0,0,11,2.0,2.0,154.0,,15,15,13.0,10.0,6.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030.0,96.0,0,0,2,,,,,,data/2019-wimbledon-points.csv,,2.0,0,0,10.001,9.944,3.0,B,NCTL,ND,0.421875,0.578125
2019-wimbledon-1701,0:05:56,1.0,1.0,1.0,0,3.0,0,12,2.0,2.0,196.0,,15,30,12.0,12.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030.0,122.0,0,0,2,,,,,,data/2019-wimbledon-points.csv,,1.0,0,0,2.696,2.225,1.0,BC,CTL,,0.4375,0.5625
